Ticker,Exp,Price,Call Ask,Call Vol,Call Delta,Call OI,Call Gamma,Call Theta,Strike,Expiry,Put Vol,Put Delta,Put OI,Put Gamma,Put Theta,Put Ask,,QQQ,504.17,,,
QQQ,241106.0,504.17,8.27,1980,1.0,4677,0.0,0.0,496,2024-11-06,44157,-0.02,558,0.01,-0.03,0.03,,NQ,20839.25,,,
,,,7.29,1980,1.0,3222,0.0,-0.01,497,2024-11-06,87020,-0.03,505,0.02,-0.04,0.04,,Conversion,41.3337763056112,,,
,,,6.29,5052,1.0,5415,0.01,-0.01,498,2024-11-06,75672,-0.03,754,0.02,-0.05,0.05,,,,,,
,,,5.36,6538,0.97,3622,0.02,-0.04,499,2024-11-06,62125,-0.05,403,0.03,-0.07,0.07,,496,20501.553047583155,"20501.5 20501.5 #GOLD @50 ""496""",,#GOLD @50
,,,4.29,39411,0.95,18924,0.04,-0.06,500,2024-11-06,123216,-0.08,462,0.05,-0.11,0.11,,497,20542.886823888766,"20543 20543 #GOLD @50 ""497""",,
,,,3.32,54104,0.9,5094,0.07,-0.13,501,2024-11-06,96598,-0.12,173,0.07,-0.17,0.17,,498,20584.220600194378,"20584.25 20584.25 #GOLD @50 ""498""",,
,,,2.41,90580,0.82,7929,0.11,-0.23,502,2024-11-06,108603,-0.19,492,0.11,-0.27,0.27,,499,20625.55437649999,"20625.5 20625.5 #GOLD @50 ""499""",,
,,,1.57,190094,0.71,1885,0.16,-0.4,503,2024-11-06,116671,-0.31,98,0.15,-0.46,0.46,,500,20666.8881528056,"20667 20667 #GOLD @50 ""500""",,
,,,0.9,139903,0.53,4728,0.19,-0.75,504,2024-11-06,66611,-0.47,143,0.19,-0.78,0.78,,501,20708.221929111212,"20708.25 20708.25 #GOLD @50 ""501""",,
,,,0.44,134695,0.34,11372,0.19,-0.44,505,2024-11-06,30466,-0.66,87,0.18,-0.47,1.33,,502,20749.555705416824,"20749.5 20749.5 #GOLD @50 ""502""",,
,,,0.19,61449,0.18,3400,0.13,-0.19,506,2024-11-06,2866,-0.81,30,0.13,-0.21,2.1,,503,20790.889481722435,"20791 20791 #GOLD @50 ""503""",,
,,,0.08,28917,0.08,2778,0.07,-0.08,507,2024-11-06,1039,-0.9,23,0.07,-0.09,3.03,,504,20832.223258028047,"20832.25 20832.25 #GOLD @50 ""504""",,
,,,0.03,26100,0.03,1861,0.03,-0.03,508,2024-11-06,87,-0.92,9,0.05,-0.08,4.14,,505,20873.55703433366,"20873.5 20873.5 #GOLD @50 ""505""",,
,,,0.02,9458,0.02,7026,0.02,-0.02,509,2024-11-06,23,-0.95,2,0.01,-0.01,5.1,,506,20914.89081063927,"20915 20915 #GOLD @50 ""506""",,
,,,0.01,16876,0.01,2860,0.01,-0.01,510,2024-11-06,119,-1.0,23,0.0,0.0,5.98,,507,20956.224586944878,"20956.25 20956.25 #GOLD @50 ""507""",,
,,,0.01,4556,0.01,1901,0.01,-0.01,511,2024-11-06,548,-0.95,0,0.01,-0.04,7.1,,508,20997.55836325049,"20997.5 20997.5 #GOLD @50 ""508""",,
,,,0.01,6688,0.01,849,0.0,-0.01,512,2024-11-06,6,-0.95,0,0.01,-0.02,8.11,,509,21038.8921395561,"21039 21039 #GOLD @50 ""509""",,
